id,celebrity,text,sentiment,sentiment_score,date,platform,length
758,Red Velvet,Red Velvet 인스타 업데이트 기다려요,neutral,0.547,2025-08-06 09:35:22,twitter,24
759,SEVENTEEN,SEVENTEEN 노래 너무 좋아요!,positive,0.704,2025-07-15 09:35:22,twitter,20
760,TWICE,TWICE 별로인듯,negative,0.139,2025-07-22 09:35:22,instagram,10
761,LE SSERAFIM,LE SSERAFIM 인스타 업데이트 기다려요,neutral,0.52,2025-07-21 09:35:22,instagram,25
762,SEVENTEEN,SEVENTEEN 재능이 넘쳐나네요,positive,0.871,2025-07-22 09:35:22,youtube,19
763,StrayKids,StrayKids 노래 너무 좋아요!,positive,0.733,2025-07-31 09:35:22,twitter,20
764,TXT,TXT 완벽해 💕,positive,0.858,2025-08-02 09:35:22,twitter,9
765,BTS,BTS 인스타 업데이트 기다려요,neutral,0.589,2025-07-18 09:35:22,youtube,17
766,ENHYPEN,ENHYPEN 최고야!! 사랑해,positive,0.712,2025-07-17 09:35:22,instagram,17
767,NCT,NCT 인스타 업데이트 기다려요,neutral,0.488,2025-07-28 09:35:22,instagram,17
768,KARD,KARD 논란이 많네,negative,0.256,2025-07-21 09:35:22,instagram,11
769,IU,IU 재능이 넘쳐나네요,positive,0.869,2025-08-13 09:35:22,instagram,12
770,LE SSERAFIM,LE SSERAFIM 정말 예쁘다 ❤️,positive,0.735,2025-08-14 09:35:22,twitter,21
771,(G)I-DLE,(G)I-DLE 너무 과장된거 아니야?,negative,0.188,2025-07-28 09:35:22,youtube,21
772,TXT,TXT 재능이 넘쳐나네요,positive,0.755,2025-07-17 09:35:22,twitter,13
773,IVE,IVE 광고 찍었네요,neutral,0.428,2025-08-05 09:35:22,twitter,11
774,Red Velvet,Red Velvet 노래 너무 좋아요!,positive,0.929,2025-08-01 09:35:22,instagram,21
775,IU,IU 최고야!! 사랑해,positive,0.932,2025-08-13 09:35:22,instagram,12
776,TWICE,TWICE 노래 너무 좋아요!,positive,0.795,2025-07-24 09:35:22,instagram,16
777,MAMAMOO,MAMAMOO 음악 감동이에요,positive,0.944,2025-08-13 09:35:22,twitter,16
778,NCT,NCT 방송 언제 해요?,neutral,0.666,2025-07-26 09:35:22,twitter,13
779,ENHYPEN,ENHYPEN 완벽해 💕,positive,0.8,2025-08-13 09:35:22,twitter,13
780,NCT,NCT 너무 과장된거 아니야?,negative,0.333,2025-08-13 09:35:22,instagram,16
781,(G)I-DLE,(G)I-DLE 실망이야,negative,0.108,2025-07-27 09:35:22,youtube,13
782,KARD,KARD 논란이 많네,negative,0.194,2025-07-15 09:35:22,twitter,11
783,TWICE,TWICE 목소리 천사같아,positive,0.943,2025-07-31 09:35:22,youtube,14
784,NMIXX,NMIXX 완벽해 💕,positive,0.816,2025-08-14 09:35:22,twitter,11
785,MAMAMOO,MAMAMOO 재능이 넘쳐나네요,positive,0.947,2025-08-05 09:35:22,twitter,17
786,ENHYPEN,ENHYPEN 목소리 천사같아,positive,0.948,2025-08-03 09:35:22,youtube,16
787,NewJeans,NewJeans 정말 예쁘다 ❤️,positive,0.779,2025-07-31 09:35:22,youtube,18
788,TWICE,TWICE 좀 아쉽네,negative,0.28,2025-07-29 09:35:22,twitter,11
789,KARD,KARD 춤도 잘 춰 👏,positive,0.932,2025-08-12 09:35:22,youtube,13
790,ITZY,ITZY 목소리 천사같아,positive,0.732,2025-07-21 09:35:22,youtube,13
791,NCT,NCT 별로인듯,negative,0.279,2025-08-03 09:35:22,instagram,8
792,(G)I-DLE,(G)I-DLE 정말 예쁘다 ❤️,positive,0.88,2025-08-05 09:35:22,youtube,18
793,TWICE,TWICE 음악 감동이에요,positive,0.795,2025-07-26 09:35:22,youtube,14
794,LE SSERAFIM,LE SSERAFIM 음악 감동이에요,positive,0.89,2025-08-11 09:35:22,twitter,20
795,aespa,aespa 노래 너무 좋아요!,positive,0.809,2025-08-14 09:35:22,youtube,16
796,NCT,NCT 음악 감동이에요,positive,0.896,2025-07-31 09:35:22,twitter,12
797,IVE,IVE 춤도 잘 춰 👏,positive,0.865,2025-07-18 09:35:22,instagram,12
798,NMIXX,NMIXX 최고야!! 사랑해,positive,0.803,2025-08-01 09:35:22,twitter,15
799,TXT,TXT 음악 감동이에요,positive,0.795,2025-07-16 09:35:22,instagram,12
800,NewJeans,NewJeans 재능이 넘쳐나네요,positive,0.889,2025-08-12 09:35:22,youtube,18
801,LE SSERAFIM,LE SSERAFIM 음악 감동이에요,positive,0.747,2025-07-18 09:35:22,instagram,20
802,IU,IU 재능이 넘쳐나네요,positive,0.932,2025-07-28 09:35:22,twitter,12
803,MAMAMOO,MAMAMOO 음악 감동이에요,positive,0.86,2025-07-20 09:35:22,instagram,16
804,ITZY,ITZY 완벽해 💕,positive,0.865,2025-08-01 09:35:22,twitter,10
805,IVE,IVE 최고야!! 사랑해,positive,0.931,2025-08-05 09:35:22,twitter,13
806,Red Velvet,Red Velvet 재능이 넘쳐나네요,positive,0.792,2025-07-26 09:35:22,twitter,20
807,TWICE,TWICE 새로운 앨범 언제 나와?,neutral,0.68,2025-08-04 09:35:22,twitter,19
808,TWICE,TWICE 목소리 천사같아,positive,0.851,2025-08-08 09:35:22,twitter,14
809,aespa,aespa 음악 감동이에요,positive,0.746,2025-07-31 09:35:22,twitter,14
810,Red Velvet,Red Velvet 정말 예쁘다 ❤️,positive,0.837,2025-08-01 09:35:22,instagram,20
811,NCT,NCT 목소리 천사같아,positive,0.706,2025-07-21 09:35:22,instagram,12
812,TXT,TXT 춤도 잘 춰 👏,positive,0.935,2025-08-03 09:35:22,instagram,12
813,BLACKPINK,BLACKPINK 춤도 잘 춰 👏,positive,0.75,2025-08-05 09:35:22,instagram,18
814,NMIXX,NMIXX 목소리 천사같아,positive,0.919,2025-08-05 09:35:22,youtube,14
815,ITZY,ITZY 정말 예쁘다 ❤️,positive,0.772,2025-07-16 09:35:22,youtube,14
816,BLACKPINK,BLACKPINK 목소리 천사같아,positive,0.927,2025-07-29 09:35:22,youtube,18
817,MAMAMOO,MAMAMOO 목소리 천사같아,positive,0.931,2025-07-18 09:35:22,youtube,16
818,KARD,KARD 재능이 넘쳐나네요,positive,0.92,2025-07-27 09:35:22,youtube,14
819,LE SSERAFIM,LE SSERAFIM 완벽해 💕,positive,0.945,2025-08-02 09:35:22,instagram,17
820,NMIXX,NMIXX 완벽해 💕,positive,0.918,2025-07-22 09:35:22,twitter,11
821,aespa,aespa 콘서트 정보 알려주세요,neutral,0.459,2025-07-23 09:35:22,youtube,18
822,(G)I-DLE,(G)I-DLE 노래 너무 좋아요!,positive,0.77,2025-07-16 09:35:22,youtube,19
823,ENHYPEN,ENHYPEN 목소리 천사같아,positive,0.898,2025-07-28 09:35:22,youtube,16
824,(G)I-DLE,(G)I-DLE 음악 감동이에요,positive,0.754,2025-07-30 09:35:22,instagram,17
825,(G)I-DLE,(G)I-DLE 별로인듯,negative,0.328,2025-07-26 09:35:22,youtube,13
826,ITZY,ITZY 노래 너무 좋아요!,positive,0.833,2025-07-18 09:35:22,youtube,15
827,TXT,TXT 춤도 잘 춰 👏,positive,0.746,2025-07-19 09:35:22,twitter,12
828,IVE,IVE 광고 찍었네요,neutral,0.678,2025-07-23 09:35:22,twitter,11
829,BLACKPINK,BLACKPINK 실망이야,negative,0.345,2025-08-01 09:35:22,instagram,14
830,aespa,aespa 목소리 천사같아,positive,0.915,2025-07-16 09:35:22,twitter,14
831,KARD,KARD 음악 감동이에요,positive,0.703,2025-08-09 09:35:22,twitter,13
832,Red Velvet,Red Velvet 목소리 천사같아,positive,0.876,2025-07-17 09:35:22,instagram,19
833,MAMAMOO,MAMAMOO 노래 너무 좋아요!,positive,0.942,2025-07-23 09:35:22,twitter,18
834,ITZY,ITZY 실망이야,negative,0.304,2025-08-13 09:35:22,twitter,9
835,SEVENTEEN,SEVENTEEN 재능이 넘쳐나네요,positive,0.795,2025-07-31 09:35:22,twitter,19
836,NCT,NCT 춤도 잘 춰 👏,positive,0.94,2025-07-30 09:35:22,youtube,12
837,NMIXX,NMIXX 재능이 넘쳐나네요,positive,0.92,2025-07-22 09:35:22,twitter,15
838,BTS,BTS 춤도 잘 춰 👏,positive,0.935,2025-07-17 09:35:22,instagram,12
839,KARD,KARD 춤도 잘 춰 👏,positive,0.797,2025-07-25 09:35:22,youtube,13
840,TWICE,TWICE 춤도 잘 춰 👏,positive,0.712,2025-08-01 09:35:22,twitter,14
841,aespa,aespa 음악 감동이에요,positive,0.749,2025-07-24 09:35:22,instagram,14
842,StrayKids,StrayKids 최고야!! 사랑해,positive,0.905,2025-08-06 09:35:22,instagram,19
843,TXT,TXT 목소리 천사같아,positive,0.785,2025-07-25 09:35:22,instagram,12
844,MAMAMOO,MAMAMOO 별로인듯,negative,0.24,2025-07-16 09:35:22,instagram,12
845,NCT,NCT 광고 찍었네요,neutral,0.661,2025-08-01 09:35:22,instagram,11
846,TWICE,TWICE 노래 너무 좋아요!,positive,0.907,2025-08-06 09:35:22,twitter,16
847,LE SSERAFIM,LE SSERAFIM 목소리 천사같아,positive,0.872,2025-08-08 09:35:22,instagram,20
848,(G)I-DLE,(G)I-DLE 완벽해 💕,positive,0.825,2025-08-03 09:35:22,instagram,14
849,BLACKPINK,BLACKPINK 재능이 넘쳐나네요,positive,0.739,2025-07-27 09:35:22,instagram,19
850,BLACKPINK,BLACKPINK 노래 너무 좋아요!,positive,0.817,2025-08-02 09:35:22,youtube,20
851,NewJeans,NewJeans 노래 너무 좋아요!,positive,0.855,2025-08-08 09:35:22,instagram,19
852,TWICE,TWICE 드라마 출연해요,neutral,0.541,2025-07-26 09:35:22,twitter,14
853,TXT,TXT 인스타 업데이트 기다려요,neutral,0.436,2025-07-28 09:35:22,instagram,17
854,Red Velvet,Red Velvet 정말 예쁘다 ❤️,positive,0.876,2025-08-11 09:35:22,youtube,20
855,ENHYPEN,ENHYPEN 좀 아쉽네,negative,0.256,2025-07-24 09:35:22,youtube,13
856,(G)I-DLE,(G)I-DLE 목소리 천사같아,positive,0.811,2025-08-14 09:35:22,youtube,17
857,ITZY,ITZY 방송 언제 해요?,neutral,0.664,2025-08-08 09:35:22,instagram,14
858,BTS,BTS 실망이야,negative,0.394,2025-07-18 09:35:22,youtube,8
859,NewJeans,NewJeans 최고야!! 사랑해,positive,0.762,2025-08-12 09:35:22,twitter,18
860,IVE,IVE 노래 너무 좋아요!,positive,0.918,2025-08-11 09:35:22,youtube,14
861,MAMAMOO,MAMAMOO 노래 너무 좋아요!,positive,0.946,2025-07-20 09:35:22,instagram,18
862,TWICE,TWICE 노래 너무 좋아요!,positive,0.894,2025-07-24 09:35:22,instagram,16
863,NewJeans,NewJeans 춤도 잘 춰 👏,positive,0.922,2025-08-11 09:35:22,youtube,17
864,aespa,aespa 노래 너무 좋아요!,positive,0.771,2025-07-18 09:35:22,youtube,16
865,Red Velvet,Red Velvet 음악 감동이에요,positive,0.896,2025-08-10 09:35:22,youtube,19
866,TXT,TXT 목소리 천사같아,positive,0.709,2025-07-20 09:35:22,instagram,12
867,ITZY,ITZY 음악 감동이에요,positive,0.894,2025-07-22 09:35:22,youtube,13
868,TWICE,TWICE 정말 예쁘다 ❤️,positive,0.855,2025-07-16 09:35:22,youtube,15
869,TXT,TXT 인스타 업데이트 기다려요,neutral,0.642,2025-07-22 09:35:22,youtube,17
870,KARD,KARD 노래 너무 좋아요!,positive,0.831,2025-07-26 09:35:22,instagram,15
871,KARD,KARD 좀 아쉽네,negative,0.133,2025-07-20 09:35:22,twitter,10
872,NewJeans,NewJeans 새로운 앨범 언제 나와?,neutral,0.665,2025-08-10 09:35:22,youtube,22
873,IVE,IVE 완벽해 💕,positive,0.907,2025-07-15 09:35:22,twitter,9
874,ITZY,ITZY 음악 감동이에요,positive,0.729,2025-08-03 09:35:22,youtube,13
875,NCT,NCT 춤도 잘 춰 👏,positive,0.877,2025-07-16 09:35:22,twitter,12
876,TWICE,TWICE 완벽해 💕,positive,0.712,2025-07-30 09:35:22,twitter,11
877,NMIXX,NMIXX 광고 찍었네요,neutral,0.501,2025-08-14 09:35:22,instagram,13
878,SEVENTEEN,SEVENTEEN 목소리 천사같아,positive,0.807,2025-08-03 09:35:22,twitter,18
879,TWICE,TWICE 방송 언제 해요?,neutral,0.497,2025-07-18 09:35:22,twitter,15
880,aespa,aespa 노래 너무 좋아요!,positive,0.746,2025-08-06 09:35:22,twitter,16
881,(G)I-DLE,(G)I-DLE 목소리 천사같아,positive,0.949,2025-07-23 09:35:22,instagram,17
882,NMIXX,NMIXX 논란이 많네,negative,0.123,2025-07-31 09:35:22,twitter,12
883,SEVENTEEN,SEVENTEEN 별로인듯,negative,0.151,2025-07-28 09:35:22,instagram,14
884,ENHYPEN,ENHYPEN 음악 감동이에요,positive,0.837,2025-07-26 09:35:22,twitter,16
885,(G)I-DLE,(G)I-DLE 실망이야,negative,0.054,2025-07-18 09:35:22,youtube,13
886,aespa,aespa 인스타 업데이트 기다려요,neutral,0.424,2025-07-31 09:35:22,youtube,19
887,NCT,NCT 새로운 앨범 언제 나와?,neutral,0.552,2025-07-18 09:35:22,twitter,17
888,IU,IU 실망이야,negative,0.056,2025-07-30 09:35:22,twitter,7
889,TXT,TXT 정말 예쁘다 ❤️,positive,0.827,2025-08-12 09:35:22,youtube,13
890,IVE,IVE 최고야!! 사랑해,positive,0.828,2025-08-02 09:35:22,twitter,13
891,NMIXX,NMIXX 좀 아쉽네,negative,0.325,2025-08-11 09:35:22,instagram,11
892,StrayKids,StrayKids 음악 감동이에요,positive,0.837,2025-07-29 09:35:22,twitter,18
893,NMIXX,NMIXX 너무 과장된거 아니야?,negative,0.155,2025-07-19 09:35:22,instagram,18
894,NCT,NCT 콘서트 정보 알려주세요,neutral,0.613,2025-07-25 09:35:22,instagram,16
895,ITZY,ITZY 노래 너무 좋아요!,positive,0.783,2025-08-14 09:35:22,youtube,15
896,BLACKPINK,BLACKPINK 춤도 잘 춰 👏,positive,0.742,2025-07-17 09:35:22,youtube,18
897,BLACKPINK,BLACKPINK 완벽해 💕,positive,0.899,2025-07-29 09:35:22,instagram,15
898,KARD,KARD 노래 너무 좋아요!,positive,0.722,2025-07-18 09:35:22,youtube,15
899,KARD,KARD 춤도 잘 춰 👏,positive,0.923,2025-08-04 09:35:22,instagram,13
900,KARD,KARD 완벽해 💕,positive,0.772,2025-07-15 09:35:22,twitter,10
901,(G)I-DLE,(G)I-DLE 실망이야,negative,0.162,2025-07-29 09:35:22,twitter,13
902,TWICE,TWICE 정말 예쁘다 ❤️,positive,0.877,2025-07-15 09:35:22,youtube,15
903,NCT,NCT 별로인듯,negative,0.286,2025-08-06 09:35:22,twitter,8
904,SEVENTEEN,SEVENTEEN 드라마 출연해요,neutral,0.625,2025-07-18 09:35:22,instagram,18
905,BTS,BTS 노래 너무 좋아요!,positive,0.907,2025-08-07 09:35:22,twitter,14
906,BTS,BTS 방송 언제 해요?,neutral,0.485,2025-08-07 09:35:22,twitter,13
907,IVE,IVE 완벽해 💕,positive,0.764,2025-08-13 09:35:22,twitter,9
908,NewJeans,NewJeans 방송 언제 해요?,neutral,0.444,2025-08-08 09:35:22,twitter,18
909,aespa,aespa 춤도 잘 춰 👏,positive,0.922,2025-08-09 09:35:22,youtube,14
910,IU,IU 춤도 잘 춰 👏,positive,0.863,2025-07-27 09:35:22,instagram,11
911,Red Velvet,Red Velvet 춤도 잘 춰 👏,positive,0.948,2025-07-17 09:35:22,twitter,19
912,NCT,NCT 춤도 잘 춰 👏,positive,0.738,2025-07-24 09:35:22,twitter,12
913,NCT,NCT 완벽해 💕,positive,0.765,2025-08-13 09:35:22,youtube,9
914,LE SSERAFIM,LE SSERAFIM 음악 감동이에요,positive,0.744,2025-08-14 09:35:22,instagram,20
915,IVE,IVE 새로운 앨범 언제 나와?,neutral,0.673,2025-07-23 09:35:22,instagram,17
916,ENHYPEN,ENHYPEN 최고야!! 사랑해,positive,0.703,2025-08-13 09:35:22,instagram,17
917,TWICE,TWICE 노래 너무 좋아요!,positive,0.719,2025-08-13 09:35:22,twitter,16
918,NMIXX,NMIXX 재능이 넘쳐나네요,positive,0.701,2025-07-20 09:35:22,twitter,15
919,StrayKids,StrayKids 드라마 출연해요,neutral,0.402,2025-08-03 09:35:22,youtube,18
920,(G)I-DLE,(G)I-DLE 음악 감동이에요,positive,0.722,2025-07-16 09:35:22,instagram,17
921,ENHYPEN,ENHYPEN 정말 예쁘다 ❤️,positive,0.833,2025-08-06 09:35:22,twitter,17
922,NCT,NCT 재능이 넘쳐나네요,positive,0.876,2025-08-05 09:35:22,instagram,13
923,ENHYPEN,ENHYPEN 새로운 앨범 언제 나와?,neutral,0.484,2025-08-10 09:35:22,instagram,21
924,ITZY,ITZY 완벽해 💕,positive,0.761,2025-07-24 09:35:22,youtube,10
925,KARD,KARD 정말 예쁘다 ❤️,positive,0.844,2025-07-18 09:35:22,youtube,14
926,ENHYPEN,ENHYPEN 완벽해 💕,positive,0.786,2025-07-20 09:35:22,instagram,13
927,NewJeans,NewJeans 춤도 잘 춰 👏,positive,0.709,2025-07-21 09:35:22,youtube,17
928,MAMAMOO,MAMAMOO 춤도 잘 춰 👏,positive,0.926,2025-07-21 09:35:22,instagram,16
929,Red Velvet,Red Velvet 재능이 넘쳐나네요,positive,0.945,2025-08-11 09:35:22,instagram,20
930,IU,IU 춤도 잘 춰 👏,positive,0.844,2025-08-11 09:35:22,instagram,11
931,NMIXX,NMIXX 음악 감동이에요,positive,0.835,2025-08-11 09:35:22,instagram,14
932,Red Velvet,Red Velvet 새로운 앨범 언제 나와?,neutral,0.685,2025-07-15 09:35:22,youtube,24
933,NMIXX,NMIXX 춤도 잘 춰 👏,positive,0.919,2025-07-26 09:35:22,instagram,14
934,aespa,aespa 재능이 넘쳐나네요,positive,0.765,2025-07-31 09:35:22,instagram,15
935,KARD,KARD 콘서트 정보 알려주세요,neutral,0.611,2025-08-04 09:35:22,instagram,17
936,ENHYPEN,ENHYPEN 완벽해 💕,positive,0.811,2025-07-25 09:35:22,youtube,13
937,BTS,BTS 정말 예쁘다 ❤️,positive,0.714,2025-07-22 09:35:22,instagram,13
938,ENHYPEN,ENHYPEN 재능이 넘쳐나네요,positive,0.773,2025-08-12 09:35:22,instagram,17
939,IU,IU 춤도 잘 춰 👏,positive,0.718,2025-07-29 09:35:22,twitter,11
940,IU,IU 방송 언제 해요?,neutral,0.421,2025-08-08 09:35:22,instagram,12
941,StrayKids,StrayKids 인스타 업데이트 기다려요,neutral,0.653,2025-08-07 09:35:22,youtube,23
942,NewJeans,NewJeans 재능이 넘쳐나네요,positive,0.716,2025-07-28 09:35:22,twitter,18
943,SEVENTEEN,SEVENTEEN 춤도 잘 춰 👏,positive,0.841,2025-07-20 09:35:22,youtube,18
944,IU,IU 실망이야,negative,0.146,2025-08-03 09:35:22,instagram,7
945,KARD,KARD 콘서트 정보 알려주세요,neutral,0.631,2025-07-18 09:35:22,youtube,17
946,IVE,IVE 재능이 넘쳐나네요,positive,0.911,2025-07-24 09:35:22,twitter,13
947,SEVENTEEN,SEVENTEEN 정말 예쁘다 ❤️,positive,0.754,2025-07-28 09:35:22,instagram,19
948,IVE,IVE 최고야!! 사랑해,positive,0.836,2025-07-27 09:35:22,youtube,13
949,TWICE,TWICE 최고야!! 사랑해,positive,0.861,2025-08-13 09:35:22,instagram,15
950,ITZY,ITZY 음악 감동이에요,positive,0.885,2025-07-25 09:35:22,instagram,13
951,aespa,aespa 예전만 못한듯,negative,0.284,2025-08-14 09:35:22,youtube,13
952,StrayKids,StrayKids 완벽해 💕,positive,0.79,2025-08-08 09:35:22,youtube,15
953,IU,IU 목소리 천사같아,positive,0.724,2025-08-02 09:35:22,instagram,11
954,BLACKPINK,BLACKPINK 목소리 천사같아,positive,0.825,2025-07-18 09:35:22,instagram,18
955,BTS,BTS 재능이 넘쳐나네요,positive,0.884,2025-07-29 09:35:22,twitter,13
956,NCT,NCT 음악 감동이에요,positive,0.915,2025-07-20 09:35:22,instagram,12
957,LE SSERAFIM,LE SSERAFIM 콘서트 정보 알려주세요,neutral,0.447,2025-08-06 09:35:22,instagram,24
958,TWICE,TWICE 실망이야,negative,0.101,2025-07-22 09:35:22,instagram,10
959,KARD,KARD 완벽해 💕,positive,0.745,2025-08-10 09:35:22,twitter,10
960,Red Velvet,Red Velvet 완벽해 💕,positive,0.816,2025-07-28 09:35:22,twitter,16
961,NMIXX,NMIXX 예전만 못한듯,negative,0.101,2025-07-18 09:35:22,youtube,13
962,ITZY,ITZY 음악 감동이에요,positive,0.87,2025-08-02 09:35:22,youtube,13
963,SEVENTEEN,SEVENTEEN 재능이 넘쳐나네요,positive,0.808,2025-08-02 09:35:22,youtube,19
964,TWICE,TWICE 목소리 천사같아,positive,0.842,2025-08-03 09:35:22,instagram,14
965,TXT,TXT 별로인듯,negative,0.213,2025-07-25 09:35:22,twitter,8
966,ENHYPEN,ENHYPEN 최고야!! 사랑해,positive,0.884,2025-08-05 09:35:22,youtube,17
967,SEVENTEEN,SEVENTEEN 새로운 앨범 언제 나와?,neutral,0.678,2025-07-17 09:35:22,youtube,23
968,TXT,TXT 목소리 천사같아,positive,0.741,2025-08-06 09:35:22,instagram,12
969,(G)I-DLE,(G)I-DLE 너무 과장된거 아니야?,negative,0.3,2025-08-03 09:35:22,youtube,21
970,NewJeans,NewJeans 정말 예쁘다 ❤️,positive,0.905,2025-08-14 09:35:22,youtube,18
971,BLACKPINK,BLACKPINK 재능이 넘쳐나네요,positive,0.837,2025-07-21 09:35:22,youtube,19
972,IVE,IVE 새로운 앨범 언제 나와?,neutral,0.575,2025-08-09 09:35:22,twitter,17
973,aespa,aespa 목소리 천사같아,positive,0.863,2025-07-31 09:35:22,twitter,14
974,(G)I-DLE,(G)I-DLE 노래 너무 좋아요!,positive,0.937,2025-08-10 09:35:22,instagram,19
975,NewJeans,NewJeans 논란이 많네,negative,0.057,2025-07-25 09:35:22,instagram,15
976,NCT,NCT 춤도 잘 춰 👏,positive,0.755,2025-08-11 09:35:22,instagram,12
977,ITZY,ITZY 최고야!! 사랑해,positive,0.787,2025-07-22 09:35:22,youtube,14
978,NCT,NCT 완벽해 💕,positive,0.752,2025-07-29 09:35:22,youtube,9
979,ITZY,ITZY 재능이 넘쳐나네요,positive,0.766,2025-07-27 09:35:22,instagram,14
980,IU,IU 춤도 잘 춰 👏,positive,0.72,2025-07-25 09:35:22,twitter,11
981,NMIXX,NMIXX 예전만 못한듯,negative,0.154,2025-07-21 09:35:22,instagram,13
982,LE SSERAFIM,LE SSERAFIM 최고야!! 사랑해,positive,0.759,2025-08-02 09:35:22,youtube,21
983,NCT,NCT 별로인듯,negative,0.292,2025-07-21 09:35:22,instagram,8
984,TXT,TXT 별로인듯,negative,0.076,2025-07-20 09:35:22,twitter,8
985,NMIXX,NMIXX 드라마 출연해요,neutral,0.5,2025-08-07 09:35:22,youtube,14
986,NewJeans,NewJeans 음악 감동이에요,positive,0.796,2025-07-31 09:35:22,instagram,17
987,NCT,NCT 음악 감동이에요,positive,0.878,2025-07-24 09:35:22,youtube,12
988,LE SSERAFIM,LE SSERAFIM 새로운 앨범 언제 나와?,neutral,0.434,2025-08-02 09:35:22,twitter,25
989,KARD,KARD 정말 예쁘다 ❤️,positive,0.716,2025-07-15 09:35:22,twitter,14
990,NCT,NCT 콘서트 정보 알려주세요,neutral,0.532,2025-08-07 09:35:22,youtube,16
991,(G)I-DLE,(G)I-DLE 춤도 잘 춰 👏,positive,0.834,2025-07-31 09:35:22,youtube,17
992,KARD,KARD 재능이 넘쳐나네요,positive,0.737,2025-07-21 09:35:22,youtube,14
993,MAMAMOO,MAMAMOO 음악 감동이에요,positive,0.799,2025-07-22 09:35:22,twitter,16
994,aespa,aespa 최고야!! 사랑해,positive,0.735,2025-07-23 09:35:22,youtube,15
995,TWICE,TWICE 광고 찍었네요,neutral,0.406,2025-07-24 09:35:22,instagram,13
996,ENHYPEN,ENHYPEN 노래 너무 좋아요!,positive,0.861,2025-08-10 09:35:22,instagram,18
997,IU,IU 노래 너무 좋아요!,positive,0.816,2025-07-31 09:35:22,instagram,13
998,IVE,IVE 목소리 천사같아,positive,0.731,2025-07-17 09:35:22,instagram,12
999,LE SSERAFIM,LE SSERAFIM 너무 과장된거 아니야?,negative,0.295,2025-07-30 09:35:22,instagram,24
1000,ENHYPEN,ENHYPEN 예전만 못한듯,negative,0.33,2025-07-19 09:35:22,youtube,15
1001,BTS,BTS 논란이 많네,negative,0.377,2025-08-13 09:35:22,twitter,10
1002,NCT,NCT 목소리 천사같아,positive,0.716,2025-07-21 09:35:22,twitter,12
1003,BTS,BTS 완벽해 💕,positive,0.9,2025-07-31 09:35:22,youtube,9
1004,NewJeans,NewJeans 최고야!! 사랑해,positive,0.748,2025-08-06 09:35:22,twitter,18
1005,BLACKPINK,BLACKPINK 완벽해 💕,positive,0.82,2025-07-23 09:35:22,youtube,15
1006,ITZY,ITZY 음악 감동이에요,positive,0.894,2025-08-09 09:35:22,instagram,13
1007,ENHYPEN,ENHYPEN 목소리 천사같아,positive,0.884,2025-07-28 09:35:22,youtube,16
1008,Red Velvet,Red Velvet 노래 너무 좋아요!,positive,0.847,2025-07-25 09:35:22,instagram,21
1009,IU,IU 최고야!! 사랑해,positive,0.755,2025-08-10 09:35:22,instagram,12
1010,BTS,BTS 음악 감동이에요,positive,0.818,2025-07-20 09:35:22,twitter,12
1011,IU,IU 완벽해 💕,positive,0.762,2025-08-03 09:35:22,twitter,8
1012,StrayKids,StrayKids 최고야!! 사랑해,positive,0.801,2025-07-19 09:35:22,twitter,19
1013,IVE,IVE 춤도 잘 춰 👏,positive,0.821,2025-08-04 09:35:22,instagram,12
1014,MAMAMOO,MAMAMOO 노래 너무 좋아요!,positive,0.86,2025-07-18 09:35:22,youtube,18
1015,NMIXX,NMIXX 드라마 출연해요,neutral,0.527,2025-08-10 09:35:22,youtube,14
1016,LE SSERAFIM,LE SSERAFIM 목소리 천사같아,positive,0.83,2025-08-11 09:35:22,instagram,20
1017,BLACKPINK,BLACKPINK 최고야!! 사랑해,positive,0.702,2025-08-09 09:35:22,youtube,19
1018,IVE,IVE 완벽해 💕,positive,0.938,2025-07-15 09:35:22,instagram,9
1019,ITZY,ITZY 좀 아쉽네,negative,0.062,2025-07-21 09:35:22,twitter,10
1020,TXT,TXT 노래 너무 좋아요!,positive,0.909,2025-08-07 09:35:22,instagram,14
1021,StrayKids,StrayKids 최고야!! 사랑해,positive,0.851,2025-07-17 09:35:22,twitter,19
1022,BLACKPINK,BLACKPINK 좀 아쉽네,negative,0.33,2025-08-10 09:35:22,instagram,15
1023,aespa,aespa 목소리 천사같아,positive,0.716,2025-08-14 09:35:22,instagram,14
1024,KARD,KARD 새로운 앨범 언제 나와?,neutral,0.464,2025-07-31 09:35:22,youtube,18
1025,StrayKids,StrayKids 방송 언제 해요?,neutral,0.486,2025-07-24 09:35:22,youtube,19
1026,TWICE,TWICE 정말 예쁘다 ❤️,positive,0.895,2025-08-12 09:35:22,twitter,15
1027,(G)I-DLE,(G)I-DLE 드라마 출연해요,neutral,0.635,2025-08-05 09:35:22,youtube,17
1028,BLACKPINK,BLACKPINK 별로인듯,negative,0.333,2025-08-14 09:35:22,instagram,14
1029,KARD,KARD 춤도 잘 춰 👏,positive,0.771,2025-07-23 09:35:22,youtube,13
1030,NewJeans,NewJeans 재능이 넘쳐나네요,positive,0.878,2025-08-13 09:35:22,twitter,18
1031,NewJeans,NewJeans 춤도 잘 춰 👏,positive,0.86,2025-08-01 09:35:22,youtube,17
1032,ITZY,ITZY 춤도 잘 춰 👏,positive,0.744,2025-07-30 09:35:22,twitter,13
